#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000071967,CYBRD1,1,1,1,7.332,3.608,1,1,9.231,21.466,1,1,4.118,9.222,1,5.654,1,1,6.352,15.595,1,9
ENSG00000074071,MRPS34,2.045,1,1,1.695,1.504,1,2.347,1.598,1,1.547,1.531,0.551,1.628,1,1,1,1,1,1,1,9
ENSG00000078043,PIAS2,0.527,1,0.654,0.607,1,1,0.62,1,1,0.594,0.64,1.622,0.629,1,1,1,1,0.564,1,1,9
ENSG00000079112,CDH17,1,1,1,1,0.666,1,1.784,0.298,0.183,1.847,1,3.391,1,1,7.513,2.36,0.541,1,1,1,9
ENSG00000079215,SLC1A3,1,2.487,1,1.704,1,1,1.522,1,1.779,3.397,1,1.558,1,1,2.173,2.207,1,1,1.595,1,9
ENSG00000079462,PAFAH1B3,1.657,1,1.773,1.906,1,1,2.076,2.103,2.254,1.5,1,0.547,1,1,1.528,1,1,1,1,1,9
ENSG00000087245,MMP2,1,1,2.002,9.062,1,1,1,4.92,7.518,1,1,1,3.022,1,3.204,1,1,2.616,5.093,2.181,9
ENSG00000090447,TFAP4,1.537,1,1,1.818,0.588,1,2.242,2.134,2.05,1,1,1,1,1,1.683,1.799,1,1,1.808,1,9
ENSG00000092051,JPH4,0.322,0.432,1,1,1,1,0.239,9.436,10.819,0.103,1,0.341,1,1,0.153,1,1,1,4.373,1,9
ENSG00000092068,SLC7A8,1.831,1,2.06,2.137,1.739,1,1,1,1,1.823,1.602,0.578,1,1,1,1,1.851,1.791,1,1,9
ENSG00000099364,FBXL19,1.506,1,1.583,1.628,1,1,1.724,2.059,1.893,1,1,0.622,1.511,1,1,1,1,1,1.532,1,9
ENSG00000099721,AMELY,3.587,2.115,3.185,1,2.807,1,2.77,1,2.084,1,3.502,1,1,1,3.018,1,3.762,1,1,1,9
ENSG00000099800,TIMM13,1.985,1,1.542,1.63,1,1,2.424,1.577,1,1.599,1.553,0.408,1,1,1.561,1,1,1,1,1,9
ENSG00000099834,CDHR5,1,1,1,1,1,0.585,2.698,0.518,0.023,1,2.098,1,1,2.408,7.667,2.593,0.565,1,1,1,9
ENSG00000100191,SLC5A4,0.252,0.262,0.025,0.045,0.35,1,1,0.141,0.272,1,1,1,1,1,1,0.105,1,1,0.238,1,9
ENSG00000100290,BIK,1.798,1,1,1,1.812,1,1,1.598,1.984,1.523,1,0.465,1.734,1,1.985,1,1.753,1,1,1,9
ENSG00000100297,MCM5,1.553,1,1.547,1.688,1,1,1,2.529,3.353,1,1,1,1.64,1,1.661,1.592,1,1,1.896,1,9
ENSG00000101265,RASSF2,1,1,2.853,1,2.784,1,0.36,6.923,14,1,1,2.329,4.459,1,1,2.092,1,1,4.685,1,9
ENSG00000101871,MID1,0.457,0.584,1,1,1,1.649,0.506,1,1,0.513,0.571,1.651,0.613,1,1,1,1,0.533,1,1,9
ENSG00000101986,ABCD1,1.838,1,1.617,1.646,1.506,1,1.669,1.576,1.578,1,1,0.559,1.626,1,1,1,1,1,1,1,9
ENSG00000103024,NME3,2.539,0.592,1.684,1,1,1,3.807,1.823,1,1,1.536,0.34,1.907,1,1.91,1,1,1,1,1,9
ENSG00000103152,MPG,2.079,1,1.736,1.546,1,1,2.903,1.648,1.552,1,1,0.428,1.918,1,1.942,1,1,1,1,1,9
ENSG00000103326,CAPN15,2.084,1,1.833,1.51,1.739,1,2.044,1.813,1,1,1,1,1.966,1,1,1.547,1,1,1.654,1,9
ENSG00000103489,XYLT1,0.513,0.502,1,1,1,1,0.309,2.643,1.628,0.594,0.53,1,1,1,0.464,0.603,1,1,1,1,9
ENSG00000103811,CTSH,1.527,1,1,1.878,1,1,1.756,4.748,2.743,1.845,1,1,1.557,1,2.429,1.714,1,1,1,1,9
ENSG00000104321,TRPA1,0.055,1,1,1,1,1,1,0.113,0.105,0.06,0.077,1,0.087,0.264,1,1,1,0.1,0.093,1,9
ENSG00000104611,SH2D4A,2.025,1.762,2.08,1.876,1,1,1,0.634,1,2.282,1.759,1,1,1,1,1.7,2.358,1,1,1,9
ENSG00000105143,SLC1A6,1,1.92,1,2.821,2.171,2.934,1,1,2.787,1,1,6.512,4.016,1,1,3.168,1,1,5.627,1,9
ENSG00000105223,PLD3,2.179,1,1.835,1.579,1.511,1,1.914,1.84,2.317,1,1,0.452,1,1,1.713,1,1,1,1,1,9
ENSG00000105251,SHD,2.877,1,1,1,2.522,1,3.271,4.548,2.804,1,1,1,4.632,1,10.17,3.547,1,1,4.02,1,9
ENSG00000105290,APLP1,1.916,1,1.795,1.587,1.608,1,1.623,2.175,3.111,1,1,0.435,1,1,1.559,1,1,1,1,1,9
ENSG00000105327,BBC3,2.23,1,1,1.519,1,1,3.032,2.832,2.977,1,1,1,1.932,1,2.556,2.129,1,1,2.728,1,9
ENSG00000105364,MRPL4,1.84,1,1.5,1.498,1.585,1,1.754,1.632,1.505,1,1,0.516,1.84,1,1,1,1,1,1,1,9
ENSG00000105655,ISYNA1,1.754,1,1.75,1.805,1.498,1,1.865,2.135,2.214,1,1,0.399,1.645,1,1,1,1,1,1,1,9
ENSG00000105974,CAV1,1,1,1,4.018,2.128,2.656,1,5.595,2.759,1,1,2.891,2.672,1,1,2.843,1,1,2.88,1,9
ENSG00000106003,LFNG,1.55,1,1.789,1,1,1,1,3.483,6.659,1,1.528,1,1.679,1,1,1.574,1,1,3.461,1.666,9
ENSG00000106665,CLIP2,1.725,1,1.66,1.705,1.554,1,1.808,1,0.608,1,1.519,0.635,1.554,1,1,1,1,1,1,1,9
ENSG00000107821,KAZALD1,1.79,1,1,1,1,1,1.772,2.085,1.628,1,1,1,1.621,1,1.588,1.567,1,1.561,1.79,1,9
ENSG00000110104,CCDC86,1.934,1,1.564,1.704,1.69,1,1.601,1.534,1,1,1,0.447,1.578,1,1,1,1,1.536,1,1,9
ENSG00000110375,UPK2,3.742,1,1,1,5.65,1,1,3.293,4.658,1,4.188,1,3.883,1,1,4.139,1,4.149,4.309,1,9
ENSG00000110660,SLC35F2,1,1,1,1.882,1,1,1,1.724,2.293,1,1,1.723,2.176,1,1.623,1.63,1,1.541,2.296,1,9
ENSG00000111886,GABRR2,0.56,1.555,0.533,1,0.578,1,0.58,0.256,0.24,1,1,1,0.56,1,1,0.612,1,1,1,1,9
ENSG00000112164,GLP1R,0.545,1,1,1,1,1,0.468,1.629,0.579,0.581,0.55,1,0.527,1,1,0.596,1,1,0.421,1,9
ENSG00000112297,CRYBG1,0.445,1,1,1,0.601,1,0.593,0.577,0.361,1,0.52,1,0.618,1,1,0.544,0.527,1,1,1,9
ENSG00000112494,UNC93A,1,1,0.664,1,0.592,1,2.216,1,0.023,1,1.533,2.509,1,1,4.279,2.066,1,0.633,1,1,9
ENSG00000112667,DNPH1,2.194,1,1.726,1,1.676,1,2.977,1.602,1,1.642,1,0.406,1.864,1,1.787,1,1,1,1,1,9
ENSG00000112818,MEP1A,1,1,1,1,0.642,0.665,2.356,0.355,0.018,1.64,1,3.113,1,1,7.525,2.632,1,1,1,1,9
ENSG00000112893,MAN2A1,0.619,1,1,0.557,1,1,1,0.407,0.544,0.479,1,2.049,1,1,0.605,1,1,0.594,1,0.62,9
ENSG00000112984,KIF20A,1,1,2.216,3.619,1,1,1,4.371,6.773,1,1,1,1,0.461,2.364,1.616,1,1.968,4.066,1,9
ENSG00000113140,SPARC,1,1,1,3.467,1,1,1,6.23,4.121,2.304,1,2.566,3.564,1,4.4,3.393,1,1,3.668,1,9
ENSG00000113209,PCDHB5,0.16,0.286,1,1,0.264,1,0.299,1,1,0.276,0.313,1,1,1,1,0.198,0.356,1,0.341,1,9
ENSG00000113249,HAVCR1,1,1,1,1,0.395,1,2.032,0.096,0.039,1,1,5.388,1,1,2.068,2.086,1,0.33,1,0.466,9
ENSG00000115353,TACR1,1,1,1.664,1,1,1,0.575,0.441,1,1,1,0.442,0.565,1,0.612,1,1.998,0.52,0.594,1,9
ENSG00000116852,KIF21B,0.652,1,1.699,1,1,1,0.561,8.25,7.194,1,0.506,1,3.097,1,1,1,1,1,3.21,1.955,9
ENSG00000118473,SGIP1,1.745,4.288,1,1,1,1,1,1.838,6.716,2.615,1,1,1.841,1,3.162,2.425,1,1,1,1.87,9
ENSG00000118804,STBD1,2.541,1,1,1,1.898,1,2.763,1,1,1,2.538,0.365,1.829,1,2.567,2.6,1,1,2.031,1,9
ENSG00000119771,KLHL29,0.55,0.514,1,1,1,1,1,1,1,0.563,0.536,0.559,0.502,1,0.632,0.576,1,0.595,1,1,9
ENSG00000119938,PPP1R3C,1,1,0.433,1,0.386,1,1,0.258,0.112,0.609,1,1,0.583,1.698,1,1,0.464,0.591,1,1,9
ENSG00000120738,EGR1,0.245,1,1,1,1,1,1,0.284,1,0.202,0.439,1,0.483,1,0.573,0.533,0.445,1,1,0.39,9
ENSG00000121690,DEPDC7,1.975,2.119,1,1,1.648,1,1.598,1,1,1,1,2.633,2.758,1,3.252,3.124,1,1,2.238,1,9
ENSG00000121858,TNFSF10,1,0.57,0.265,0.577,0.595,1,1,0.06,0.019,0.389,1,1,1,1,1,1,0.342,1,1,0.506,9
ENSG00000122756,CNTFR,1,1,1,11.265,3.785,1,1,23.014,88.058,1,1,1,56.813,1,5.526,14.935,1,43.502,107.885,1,9
ENSG00000123119,NECAB1,1,1.757,1,1.74,1.789,1,1,2.116,3.099,1.559,1,2.334,1,1,1,2.224,1,1,1.794,1,9
ENSG00000123159,GIPC1,1.83,1,1.763,1.627,1,1,2.023,2.085,2.305,1,1,0.485,1.661,1,1.558,1,1,1,1,1,9
ENSG00000123485,HJURP,1,1,1,3.574,1,1.839,1,5.545,10.983,2.99,1,1,2.564,1,2.996,2.389,1,1,5.411,1,9
ENSG00000123643,SLC36A1,1,0.627,1,0.657,0.525,1,1,0.347,0.243,0.596,1,2.375,0.516,1,1,1,1,0.465,1,1,9
ENSG00000124191,TOX2,1,1,2.269,3.292,2.096,1,1,3.035,4.814,1,1,1,2.421,1,1.87,1,1,1.935,1.939,1,9
ENSG00000125503,PPP1R12C,1.88,1,1.551,1.74,1.515,1,1.726,2.081,1.854,1.623,1,0.467,1,1,1,1,1,1,1,1,9
ENSG00000125652,ALKBH7,2.337,1,1.725,1,1.624,1,3.225,1.875,1.687,1,1,0.326,2.016,1,2.02,1,1,1,1,1,9
ENSG00000126016,AMOT,1,1,1.733,1,1,1.576,0.55,3.021,4.488,1,1,1.877,1,1,0.565,1.51,1,1,1.652,1,9
ENSG00000127415,IDUA,2.3,1,1.555,1,1.5,1,2.185,2.126,1,1,1,0.519,1.656,1,1.549,1,1,1,1.501,1,9
ENSG00000128242,GAL3ST1,2.125,1,1.772,1.584,1,1,2.865,1,1,1,1,0.48,1.751,1,1.817,1.831,1,1,1.526,1,9
ENSG00000129317,PUS7L,0.068,1,0.101,1,0.214,1,0.185,1,1,0.136,1,4.166,1,1,1,0.242,0.173,1,1,0.258,9
ENSG00000130520,LSM4,1.826,1,1,1,1,1,1.912,1.63,1.935,1.63,1,1,1.713,1,1.701,1.502,1,1,1.57,1,9
ENSG00000130522,JUND,1,0.408,1,1,1.983,0.453,1,1,1.566,1,0.558,0.458,1.798,1,1.528,1,1,1,1,0.52,9
ENSG00000130669,PAK4,1.707,0.658,1,1,1.618,1,1.782,1.654,1.72,1,1,0.491,1.806,1,1,1,1,1,1.511,1,9
ENSG00000130751,NPAS1,2.103,1,2.28,2.437,1,1,2.301,2.644,2.97,1,1,1,1.859,1,1,2.304,1,1,1.731,1,9
ENSG00000131116,ZNF428,1.781,1,1.887,1,1.497,1,1.927,2.518,2.53,1.567,1,0.612,1.695,1,1,1,1,1,1,1,9
ENSG00000131188,PRR7,2.174,1,2.039,1,2.081,1,2.882,3.01,3.119,1,1,0.384,2.616,1,1,1,1,1,2.067,1,9
ENSG00000131771,PPP1R1B,0.308,0.211,0.173,1,0.245,1,1,0.103,0.295,0.17,0.294,1,1,1,1,1,0.193,1,1,1,9
ENSG00000132004,FBXW9,1.962,1,1.857,1.805,1.518,1,2.326,1.929,2.204,1,1,0.588,1.822,1,1,1,1,1,1,1,9
ENSG00000132274,TRIM22,1,2.894,1,2.483,1,1,1,2.944,1.889,1,1,1.724,2.299,1,2.33,2.134,1,1,3.725,1,9
ENSG00000132321,IQCA1,1.68,1.601,2.257,1,1,1,1,1,1.81,1,1.976,0.623,1.734,1,1.671,1,1,2.329,1,1,9
ENSG00000132692,BCAN,9.427,1,8.947,6.992,4.508,1,1,1,1,1,1,4.424,7.397,1,1,7.127,1,9.77,12.926,1,9
ENSG00000132819,RBM38,1.558,1,1.558,1.782,1,1,1.843,2.235,2.471,1,1,1,1.87,1,1.673,1,1,1,2.162,1,9
ENSG00000132932,ATP8A2,1,1.957,1,1,1,1.558,1,3.511,3.893,1.852,1,1.775,1.574,1,1,1,1,1.779,1.901,1,9
ENSG00000133243,BTBD2,1.794,1,1,1.562,1,1,2.214,1.743,1.748,1,1,1,1.707,1,1.647,1.544,1,1,1.751,1,9
ENSG00000134222,PSRC1,1.731,1.569,1,1.518,1,1,1.7,1.54,1.761,1,1.6,1,1,1,1.572,1,1,1,1.557,1,9
ENSG00000134333,LDHA,0.54,0.477,0.623,0.608,0.591,1,1,1,0.667,0.655,1,1,0.644,1,1,1,1,0.431,1,1,9
ENSG00000134812,CBLIF,4.487,1,4.401,1,2.736,1,1,1,1,3.762,3.157,3.964,3.154,1,1,8.868,1,1,3.138,1,9
ENSG00000135185,TMEM243,1.764,1,1,1,1.523,1,1,1.629,1.858,1,1,1.969,1.705,1,2.941,2.192,1,1,2.146,1,9
ENSG00000136378,ADAMTS7,1,1,2.333,2.973,2.174,1,1,11.076,4.061,1,1,1,2.514,1,2.091,2.034,1,1,3.149,1,9
ENSG00000136404,TM6SF1,1.761,2.182,1,1,1.691,1.858,1,2.543,3.748,1,1,2.058,1.8,1,1,1.793,1,1,1,1,9
ENSG00000136490,LIMD2,1.503,1,1.52,1.667,1.512,1,1.848,2.166,1.965,1,1,0.435,1.65,1,1,1,1,1,1,1,9
ENSG00000137747,TMPRSS13,1.526,1.6,1,1,1,1,1,5.545,5.452,2.421,1,1,2.529,1,1.69,2.287,1,1,2.321,1,9
ENSG00000137834,SMAD6,1,1,2.57,3.737,1,1,1,6.515,4.493,1,1,2.202,2.01,1,4.603,2.49,1,1,2.645,1,9
ENSG00000138658,ZGRF1,0.532,1,0.574,0.355,1,1,0.61,0.668,1,0.538,0.633,1.644,1,1,1,1,0.65,1,1,1,9
ENSG00000138696,BMPR1B,1,0.54,1,1,1,1.82,0.34,2.465,2.892,1,0.42,2.455,1,1,1,1.937,1,0.283,1,1,9
ENSG00000139219,COL2A1,4.053,1,1,1,1,1,4.639,3.659,3.155,3.851,1,3.431,3.502,1,10.284,4.297,1,1,1,1,9
ENSG00000139722,VPS37B,1.812,1,1,1.578,1,1,1.71,1,1,1,1,1,2.111,0.6,1.793,1.591,0.66,1.889,1,1,9
ENSG00000140543,DET1,0.531,1.609,0.518,1,0.528,1,0.421,0.619,1,1,1,1,0.518,1,0.522,1,1,0.497,1,1,9
ENSG00000140859,KIFC3,2.09,1,1.791,1.736,1,1,2.072,0.663,1,1.566,1.549,0.521,1,1,1.553,1,1,1,1,1,9
ENSG00000140993,TIGD7,1,1,1,0.606,0.467,1,1,0.515,1,0.66,1,1,0.615,1,0.652,1,1,0.576,0.577,0.645,9
ENSG00000142694,EVA1B,2.627,1,2.236,1,2.3,1,3.259,1,1,1,1,0.199,2.564,1,1.788,2.028,1,1,2.309,1,9
ENSG00000143195,ILDR2,0.583,1,0.604,1,0.666,1,0.476,1,1,0.51,0.572,1,1,1,0.276,0.608,0.517,1,1,1,9
ENSG00000143278,F13B,1,1,1,1,1,1,3.856,0.011,0.021,1,1,6.639,1,1.868,8.17,4.232,1,1,1.854,0.354,9
ENSG00000143502,SUSD4,0.578,0.603,1,1,1,1,1,1.546,1,1,1,0.517,0.601,1,1,0.473,1.596,0.441,0.545,1,9
ENSG00000143772,ITPKB,1.991,1,1,2.697,1,1,1,4.955,5.476,1,1,3.106,2.168,1,1,2.851,1,2.027,4.721,1,9
ENSG00000143869,GDF7,0.642,1,1,1,1,1.953,1,0.453,0.135,0.511,1,2.163,1,1,0.483,1,1,2.388,1.542,1,9
ENSG00000144644,GADL1,1,2.674,1,2.408,2.225,1,1,5.504,3.431,2.522,1,1,1.842,1,5.605,2.172,1,1,1,1,9
ENSG00000144730,IL17RD,0.501,0.648,1,1,1,1,0.519,1.926,2.177,0.633,0.549,1,1,1,1,0.644,1,1,2.754,1,9
ENSG00000145244,CORIN,2.583,1.794,1,3.499,1,1,1,1,3.903,3.217,2.197,1,3.987,1,3.503,1,1,2.764,1,1,9
ENSG00000145536,ADAMTS16,1,1,2.984,2.747,1.911,1,1,1,13.436,3.708,1,2.57,2.615,1,4.664,2.077,1,1,1,1,9
ENSG00000145692,BHMT,1,2.285,1.639,3.212,1,1,1,3.685,1,1.9,1.66,1,1.521,1,1,1.755,1.94,1,1,1,9
ENSG00000146374,RSPO3,1,1.757,2.07,1,1,1,1,5.141,10.235,1,1,1,3.037,1,1,3.269,2.78,7.096,4.418,1,9
ENSG00000147027,TMEM47,1,1,1.958,1,2.523,1.845,1,1,3.649,1,1,2.557,2.124,1,1.589,3.137,1,1,2.186,1,9
ENSG00000147082,CCNB3,1,1,0.66,0.5,0.567,1,0.584,1,0.399,1,1,1,0.56,1,0.613,0.563,1,1,0.56,1,9
ENSG00000148053,NTRK2,1,0.519,1,1,1,1,0.599,1,5.925,0.564,0.586,1.677,1,1,1.779,1,0.465,1,2.378,1,9
ENSG00000148773,MKI67,0.649,1,2.146,2.223,1,1,0.385,3.582,5.149,1.992,1,1,1,0.433,1,1,1,1,3.454,1,9
ENSG00000149256,TENM4,0.605,1,1,1,1,1,0.386,2.357,2.092,1,0.585,1,0.633,1,0.291,0.651,1,1,1,1.637,9
ENSG00000149295,DRD2,0.57,0.453,1,1,1,1,1,2.286,1,0.563,0.512,0.409,1,1,0.179,0.582,0.567,1,1,1,9
ENSG00000149972,CNTN5,2.06,2.257,1.963,1,1.505,1,1,1,4.4,1.999,1.617,2.198,1,1,2.144,1,1,1,1,1,9
ENSG00000152475,ZNF837,2.969,1,1,1,2.264,1,3.185,2.032,2.396,1,1,0.394,3.165,1,2.055,1,1,1,2.459,1,9
ENSG00000152582,SPEF2,1,2.624,1,2.782,0.182,3.086,1,1,2.27,1,1,1,2.299,2.589,1,1,1,0.271,2.788,1,9
ENSG00000152785,BMP3,0.49,0.653,1,0.579,1,1,0.227,4.468,1,0.65,0.26,1,1,1,0.558,1,1,1,1,0.564,9
ENSG00000153044,CENPH,1,1,1,1,1.582,1,1.503,1,4.038,1,1,1.959,2.245,1,1.672,1.971,1,1,3.516,0.565,9
ENSG00000153246,PLA2R1,1.807,1,1,1,1,1,1,1.915,3.037,1.995,1,2.377,2.235,1,2.407,1.966,1,1,2.046,1,9
ENSG00000155366,RHOC,1.93,1,1.739,1.69,1,1,1.899,2.129,1.712,2.032,1,1,1,1,2.136,1.649,1,1,1,1,9
ENSG00000155657,TTN,1.695,1.651,1,1,1,1.762,0.484,3.555,1,1,2.177,7.496,1,0.521,1,2.497,1,1,1,1,9
ENSG00000155849,ELMO1,1,1.563,2.899,1,2.005,1,1,1,2.62,2.04,1,0.396,1,1,2.599,1,3.329,1,1,1.642,9
ENSG00000156140,ADAMTS3,1,2.884,1,6.278,3.133,1,1,4.694,7.647,1,1,1,5.716,1,1,4.158,1,7.098,11.058,1,9
ENSG00000156218,ADAMTSL3,2.201,1.809,1,1,1,1,1,0.509,0.07,1,2.028,1.916,1,1,3.232,2.193,1,1.917,1,1,9
ENSG00000157542,KCNJ6,0.609,1,1,1,0.626,1,0.638,0.486,0.364,1,1,1,0.442,1,0.6,0.6,1,1,0.582,1,9
ENSG00000157557,ETS2,0.483,0.376,0.579,1,1,1,0.618,1,0.557,0.524,0.656,1,1,1,1,0.598,0.574,1,1,1,9
ENSG00000158106,RHPN1,2.216,1,1.74,1.518,1.789,1,2.339,2.862,2.127,1,1,1,1.89,1,1,1,1,1,1.696,1,9
ENSG00000158246,TENT5B,1.728,1,2.087,1.693,1.597,1,1.899,2.529,2.287,1,1,1,1,1,1,1,1.572,1,1.832,1,9
ENSG00000158683,PKD1L1,1,3.126,1,1,1,1,1.942,5.357,2.441,1,2.222,6.51,1,1,4.452,3.81,1,1,2.336,1,9
ENSG00000158715,SLC45A3,1,1,1.95,2.378,1,1,1,4.802,2.43,1,1,1.993,2.022,1,2.381,1.775,1,1,2.46,1,9
ENSG00000159212,CLIC6,1.686,1,1,1.895,1,1,1,2.533,1,1.674,1,2.438,1.845,1,3.191,2.626,1,1,1.517,1,9
ENSG00000159374,M1AP,3.958,1.909,1,1,1,1,1,1,1,2.919,2.671,2.028,2.872,1,1,2.018,1,2.691,2.268,1,9
ENSG00000159388,BTG2,0.348,1,1,1,1,0.578,1,0.281,0.441,0.261,0.474,1,1,1,1,0.493,0.541,1,1,0.432,9
ENSG00000159433,STARD9,0.546,1,0.611,0.625,0.542,1,0.566,1,0.646,1,1,1,0.503,1,0.483,0.512,1,1,1,1,9
ENSG00000159905,ZNF221,0.598,1,0.622,0.413,0.518,1,1,1,0.489,0.63,1,1,0.534,1,0.604,1,1,1,0.646,1,9
ENSG00000160593,JAML,1,1,0.324,1,0.281,1,1.892,0.327,0.012,1,1,1.889,0.55,1,2.11,1,1,0.403,1,1,9
ENSG00000160801,PTH1R,6.36,1,1,1,7.194,1,3.266,1,9.108,1,1,1,8.8,1,4.469,8.95,1,5.341,18.155,1,9
ENSG00000161671,EMC10,2.117,1,1.664,1.561,1,1,1.903,1.551,1.6,1,1,0.462,1.625,1,1.707,1,1,1,1,1,9
ENSG00000162490,DRAXIN,1,2.244,1,1,1,1,1,7.18,13.479,1,1,2.685,13.743,1,1,2.939,1,9.824,16.416,4.131,9
ENSG00000162639,HENMT1,1.651,1.861,1,1,0.457,1.646,1,1,1,1,1,1.807,1.695,1,1,1,0.156,1,0.558,0.366,9
ENSG00000163251,FZD5,0.645,0.613,1,1.504,1,1.503,0.583,2.042,1,1,0.63,1,1,1,0.635,1,1,0.626,1,1,9
ENSG00000163631,ALB,1,2.569,4.88,2.8,1,1,1,0.096,0.05,4.13,1,1,1,1,3.244,2.151,6.211,1,1,1,9
ENSG00000163734,CXCL3,1,0.342,1,2.613,1,2.599,0.309,4.559,1.933,1,0.177,1,1,0.174,1,1,1,1,0.368,1,9
ENSG00000163735,CXCL5,0.232,0.268,1,1,1,1,0.155,3.822,1,1,0.132,1,1,0.178,1,0.376,1,0.092,0.366,1,9
ENSG00000164093,PITX2,1.761,1.803,1,3.164,1,1,1.508,1,1,1.909,1,2.315,1.604,1,3.022,2.77,1,1,1,1,9
ENSG00000164294,GPX8,1,1,2.315,2.801,1,1,1,5.337,6.045,1,1,3.436,2.844,1,2.493,3.229,1,1,3.786,1,9
ENSG00000164695,CHMP4C,0.051,1,1,1.702,1,1,0.162,1,0.209,1.835,1,1,0.349,0.645,1,1,0.071,0.218,1,1,9
ENSG00000164867,NOS3,1,1,1,3.574,1.865,2.394,1,8.356,2.165,1,1,2.332,1,1,2.259,2.75,1,1,2.641,1,9
ENSG00000165188,RNF183,1,1,0.493,1.521,0.401,1.512,1,1,0.38,1,1,2.531,1,1,2.577,1.803,0.442,1,1,1,9
ENSG00000166035,LIPC,1,1.703,2.538,2.599,2.617,1.856,1,0.004,0.021,1,1,1,1,1,1,1.672,2.56,1,1,1,9
ENSG00000166405,RIC3,0.631,1,0.58,0.598,0.595,1,0.659,1,1,1,1,1,0.536,1,0.654,0.558,1,1,0.655,1,9
ENSG00000166432,ZMAT1,0.593,1.968,0.603,0.437,1,1,0.469,1,1,1,1,1,0.577,1,0.589,0.645,1,0.651,1,1,9
ENSG00000167434,CA4,2.503,2.98,1,3.382,1,1,4.623,1,0.482,4.11,1,3.288,1,1,4.662,2.705,1,1,1,1,9
ENSG00000167555,ZNF528,1,1,0.136,0.641,0.111,1,0.487,0.473,1,1,0.665,1,1,1,1,1,0.46,1,0.568,0.522,9
ENSG00000167645,YIF1B,1.958,1,1.563,1.705,1.547,1,2.194,1.731,1.651,1,1,1,1.677,1,1.791,1,1,1,1,1,9
ENSG00000167646,DNAAF3,1.939,1,1.639,1,1.695,1,2.18,1,2.207,1.529,1,0.492,1.604,1,1,1,1,1,1.57,1,9
ENSG00000167703,SLC43A2,1.856,1,2.137,1.705,1.737,1,1,1.934,3.117,1.557,1,0.469,1.648,1,1,1,1,1,1,1,9
ENSG00000167780,SOAT2,1,1,0.545,0.664,0.564,1,1.642,0.107,0.085,1,1,1,1,1,2.229,1,0.447,0.584,1,1,9
ENSG00000167900,TK1,1,1,3.452,4.703,1,1,1,9.389,10.82,2.166,1,1,2.618,1,2.581,2.088,1,1,3.43,1,9
ENSG00000168003,SLC3A2,2.223,1,1.924,1.939,1.702,1,1.631,1,1,1.508,1.513,1,1,1,1.784,1,1,1.576,1,1,9
ENSG00000168060,NAALADL1,0.529,0.489,0.597,1,1,1,1,0.081,0.039,0.508,1,0.473,1,1,0.328,0.48,1,1,1,1,9
ENSG00000168065,SLC22A11,1.781,1,1,2.599,1,1,2.05,0.06,0.023,1,2.252,1,1.787,1.918,1,1.655,1,1,1,1,9
ENSG00000168140,VASN,2.709,1,3.465,1,2.97,1,1,5.191,10.174,1,1,1,3.655,0.311,1,3.247,1,1,3.588,1,9
ENSG00000169583,CLIC3,6.504,1,1,1,6.212,1,4.685,4.374,3.042,1,1,1,6.99,1,3.978,4.266,1,1,6.337,1,9
ENSG00000169727,GPS1,1.776,1,1.674,1.663,1.636,1,1.804,1.736,1.966,1,1,0.504,1.614,1,1,1,1,1,1,1,9
ENSG00000169851,PCDH7,2.415,2.641,3.685,1,2.771,1,1,2.536,7.999,2.778,1,1,1,1,2.212,4.553,1,1,1,1,9
ENSG00000170044,ZPLD1,0.164,1,0.14,0.073,1,1,1,1,1,0.181,0.086,0.113,0.176,1,1,1,1,0.151,1,31.911,9
ENSG00000170893,TRH,3.224,2.535,18.123,1,3.799,1,1,17.762,99.569,1,1,0.387,1,1,1,1,2.871,1,2.188,1,9
ENSG00000171813,PWWP2B,2.329,0.528,1,1,1,1,2.303,2.77,2.185,1,1,0.546,2.061,1,1.972,1,1,1,1.897,1,9
ENSG00000171848,RRM2,1,1,1.863,2.102,1,1,0.518,2.914,5.871,2.008,1,1,1,0.529,1.762,1,1,1,1.708,1,9
ENSG00000172260,NEGR1,1,1.74,2.202,1,2.25,1,1,1,3.587,1,1,1.636,1.862,1,2.499,2.719,1,1,1.851,1,9
ENSG00000172613,RAD9A,1.838,1.935,1.529,1,1.544,1,1,1.595,1.658,1,1.567,1,1.603,1,1,1,1,1.808,1,1,9
ENSG00000172725,CORO1B,2.269,1,1.746,2.107,1.561,1,2.028,1.868,1.7,1,1,1,1.658,1,1.583,1,1,1,1,1,9
ENSG00000173258,ZNF483,0.629,1,0.49,0.434,1,1,0.614,0.503,0.447,0.537,1,1.672,1,1,1,1,1,1,1,0.623,9
ENSG00000174827,PDZK1,1,1.931,1.656,1.537,1,1,1,0.341,0.1,1.808,1.552,1,1,1,1.525,1,1.973,1,1,1,9
ENSG00000174948,GPR149,4.811,3.979,1,4.494,1,1,2.881,1,4.235,1,4.885,1,3.219,1,5.058,1,1,3.914,1,1,9
ENSG00000175221,MED16,1.627,1,1.529,1.541,1.497,0.624,1.785,1.663,1,1,1,0.375,1.558,1,1,1,1,1,1,1,9
