Gene,log2FoldChange (FC),abs(FC),P-adjusted
CAMKMT,0.348495638,0.348495638,0.0003547
MGAT4A,0.348758728,0.348758728,6.40918E-05
GRB10,0.349265929,0.349265929,0.000512858
TMEM108,0.349324149,0.349324149,0.000384394
BMPR2,0.350389271,0.350389271,0.000107629
ADNP,0.354054597,0.354054597,0.0034855
SLC8A1,0.35429402,0.35429402,0.000143987
PRMT2,0.354368727,0.354368727,0.000447147
HYDIN,0.354627077,0.354627077,0.001628091
NAV1,0.356521381,0.356521381,1.1792E-06
DAPK1,0.358797587,0.358797587,4.83679E-05
NEURL,0.359507293,0.359507293,0.008937241
RP11-72M17.1,0.359974888,0.359974888,0.009553627
RP11-307P5.1,0.360918553,0.360918553,0.002884712
GLCCI1,0.361630687,0.361630687,0.000446294
ETV1,0.363772937,0.363772937,0.004777232
RP11-758M4.1,0.364322855,0.364322855,0.005639637
ATF7IP,0.364887837,0.364887837,1.24952E-06
BTG3,0.366362667,0.366362667,0.000218196
PVRL3,0.367252418,0.367252418,0.002552526
MAGI2,0.367484454,0.367484454,2.28197E-11
NCKAP5,0.368576957,0.368576957,0.00407763
SOBP,0.368800981,0.368800981,4.17655E-05
KLF9,0.369577518,0.369577518,0.006582877
DOCK3,0.371585798,0.371585798,4.84313E-08
TMEM132D,0.373026812,0.373026812,2.58383E-06
PANK3,0.373903302,0.373903302,0.006656371
SEMA6D,0.37445696,0.37445696,0.000898394
PLCB4,0.374583752,0.374583752,2.45403E-08
STRBP,0.374925925,0.374925925,0.000520509
TMEM178B,0.375615944,0.375615944,2.66314E-10
KAT2B,0.376532149,0.376532149,0.000239932
CBFB,0.376870854,0.376870854,0.000358534
PCF11,0.377442388,0.377442388,0.003708484
TMOD1,0.378005132,0.378005132,0.001790108
TRAK1,0.379873474,0.379873474,2.7831E-05
DOCK4,0.379893172,0.379893172,0.000316782
FAM155A,0.380229371,0.380229371,5.58228E-10
ROBO1,0.38168683,0.38168683,5.57598E-08
TMEM181,0.381728351,0.381728351,0.000385886
ZNF708,0.382637519,0.382637519,0.002119488
RNLS,0.383431092,0.383431092,0.000136134
CAMTA1,0.384706592,0.384706592,0.000603051
RHOBTB1,0.385080371,0.385080371,0.008892426
PLCB1,0.38533,0.38533,3.29309E-08
MFSD6,0.386221135,0.386221135,0.00232418
RBMX,0.387576866,0.387576866,0.003703242
RP11-206L10.11,0.38775424,0.38775424,0.001522354
NPTX2,0.388057872,0.388057872,0.000132749
ALG13,0.39074834,0.39074834,0.00172241
CDH12,0.392526338,0.392526338,0.001153461
IL20RA,0.392765588,0.392765588,0.003346282
RP11-1084J3.4,0.39358624,0.39358624,0.000435296
SIM1,0.394369121,0.394369121,0.008850411
CDC5L,0.395490844,0.395490844,0.004768792
DUSP16,0.398302084,0.398302084,0.001185389
TBC1D4,0.400186394,0.400186394,3.26854E-06
DSCAML1,0.400721135,0.400721135,0.000332219
PTPRD,0.401830746,0.401830746,3.58043E-05
CCDC30,0.402308572,0.402308572,0.002406699
CMSS1,0.402926006,0.402926006,0.001158745
PPP5C,0.403108515,0.403108515,0.008489431
ATP9B,0.403520058,0.403520058,6.58465E-05
IMMP2L,0.406104189,0.406104189,1.78592E-13
PTCHD4,0.406742814,0.406742814,0.008039915
TFCP2L1,0.407089055,0.407089055,1.60259E-06
PCSK1,0.407361194,0.407361194,0.005090326
ACLY,0.409835827,0.409835827,0.000949512
SCGN,0.410329744,0.410329744,6.17079E-10
LYRM4,0.411564405,0.411564405,0.001230075
ELF2,0.412145057,0.412145057,1.77792E-07
ZNF280D,0.412542665,0.412542665,3.08475E-08
POLR2J3,0.412918343,0.412918343,0.004697274
ACOT11,0.413976438,0.413976438,0.001478027
TDRD3,0.415989216,0.415989216,0.000531269
ZNF618,0.416613044,0.416613044,0.000114177
UNC13A,0.418846643,0.418846643,0.000163251
SCG3,0.419209384,0.419209384,0.003175833
FARP2,0.422311888,0.422311888,0.000187523
SCG5,0.422667701,0.422667701,0.000196516
GRIA3,0.423055892,0.423055892,0.00100339
CHN1,0.424041004,0.424041004,3.02946E-11
ABLIM1,0.426093654,0.426093654,1.72902E-14
MCTP2,0.427132038,0.427132038,1.62163E-06
MAML3,0.43000962,0.43000962,3.26826E-12
MAP1LC3A,0.430499277,0.430499277,0.005863797
GGA2,0.430934833,0.430934833,0.000195308
ANKRD36C,0.431826447,0.431826447,0.001671772
PAK3,0.432038221,0.432038221,8.29182E-08
GALNT3,0.432161989,0.432161989,0.008191398
SREBF2,0.434025197,0.434025197,0.000275229
MEIS1,0.434355394,0.434355394,5.13289E-12
SUMF1,0.436122837,0.436122837,1.72015E-05
NHLRC3,0.437124432,0.437124432,0.001339255
ATXN7L1,0.437219608,0.437219608,0.00054747
RNPC3,0.438343109,0.438343109,0.000430282
ANKRD36,0.438382012,0.438382012,0.000400959
DAP,0.439236009,0.439236009,0.002516146
MMP16,0.439901581,0.439901581,0.00061423
SASH1,0.440114038,0.440114038,0.004812158
LARP1B,0.440234925,0.440234925,1.03814E-06
BDNF-AS,0.440602102,0.440602102,0.003662063
FANCC,0.441452621,0.441452621,3.83748E-06
LENG8-AS1,0.441583826,0.441583826,0.007527963
HNRNPU-AS1,0.441674935,0.441674935,0.005603957
SIRT1,0.442508986,0.442508986,0.008516128
SHROOM2,0.442617771,0.442617771,9.93769E-06
SPRED1,0.443854437,0.443854437,0.00331286
NRXN1,0.446511409,0.446511409,9.68822E-15
FAM222A,0.44658488,0.44658488,0.000296453
ZNF608,0.447200302,0.447200302,7.5428E-06
SLC43A2,0.448308199,0.448308199,0.000459588
LEKR1,0.44900925,0.44900925,0.003902769
LIPA,0.452073645,0.452073645,0.001581922
RP11-53O19.1,0.452480184,0.452480184,0.007360728
THOC1,0.453007637,0.453007637,0.000974719
FAM169A,0.453474552,0.453474552,0.006306162
PAX6,0.454034619,0.454034619,8.4237E-06
AL592284.1,0.454809693,0.454809693,0.000257516
TROVE2,0.455506426,0.455506426,0.000869913
SNHG7,0.457426579,0.457426579,0.004323361
EML6,0.45748476,0.45748476,0.000137653
BRI3,0.458510718,0.458510718,0.000173656
RAI1,0.460819042,0.460819042,0.000226294
NCR3LG1,0.461065175,0.461065175,0.003614167
COMMD9,0.462359359,0.462359359,0.007508671
ROBO2,0.465506467,0.465506467,9.98891E-15
KCNB2,0.465541019,0.465541019,9.49287E-10
GPM6A,0.465602483,0.465602483,3.69269E-07
GUCY1A3,0.466502013,0.466502013,2.63838E-05
TXK,0.468146476,0.468146476,0.003184718
STK38,0.468546513,0.468546513,0.005771858
SEC22C,0.46972773,0.46972773,0.000930666
ZDHHC6,0.46993062,0.46993062,0.004437931
TTC14,0.472016993,0.472016993,6.38157E-05
CDK5RAP2,0.473754934,0.473754934,0.001845519
ZFP30,0.474510723,0.474510723,0.007138132
DPP6,0.476283178,0.476283178,5.20453E-24
TGFBR3,0.476795327,0.476795327,1.42806E-13
ST3GAL5,0.477149972,0.477149972,0.002023629
DSP,0.477721032,0.477721032,5.27033E-07
EEF1DP3,0.478650785,0.478650785,0.000545781
ZNF141,0.478985849,0.478985849,0.008494775
ABCC9,0.479912801,0.479912801,0.009003679
SORL1,0.480084922,0.480084922,2.39367E-09
FAM115A,0.480825199,0.480825199,2.02129E-08
TBL1XR1,0.481456779,0.481456779,1.83908E-06
TMEM192,0.483137066,0.483137066,0.009977656
ISL1,0.485271744,0.485271744,0.00109749
MED12L,0.486049778,0.486049778,0.000504845
KIF5C,0.486358808,0.486358808,4.21975E-11
ZNF721,0.486878486,0.486878486,0.000424566
FAM227B,0.486994017,0.486994017,0.001193378
PRDM10,0.487130073,0.487130073,0.001436639
PWWP2A,0.487294927,0.487294927,0.000768588
GPRIN3,0.487411971,0.487411971,7.65744E-05
RP11-814P5.1,0.487438424,0.487438424,0.000338154
RP1-167F1.2,0.4898976,0.4898976,0.0035419
ZNF462,0.490004777,0.490004777,3.45463E-05
TUBE1,0.49090798,0.49090798,0.007678632
LINC00271,0.491189611,0.491189611,0.000314653
AQP4-AS1,0.491276574,0.491276574,1.18417E-06
AP3B1,0.492170096,0.492170096,1.86854E-13
CHGB,0.49221084,0.49221084,0.002140478
MTUS2,0.496228465,0.496228465,3.54733E-15
ENOX2,0.496296082,0.496296082,0.000132183
SLC25A21,0.497100132,0.497100132,0.00897331
CDC14A,0.497168151,0.497168151,8.06621E-05
ZNF586,0.497955403,0.497955403,0.000472676
NCALD,0.498570226,0.498570226,0.000140641
TNRC18,0.498755625,0.498755625,0.000979447
OXCT1,0.49952197,0.49952197,0.002148782
GAS2,0.499593637,0.499593637,3.89831E-05
PDE4B,0.500936778,0.500936778,0.001295596
CTBP1,0.502496174,0.502496174,0.003491715
HEPACAM2,0.502569977,0.502569977,0.002411094
UBE3D,0.503140236,0.503140236,0.000285705
UTRN,0.503156909,0.503156909,7.85477E-13
PARVB,0.50402922,0.50402922,2.32874E-05
RBM3,0.50536504,0.50536504,0.00228926
C12orf79,0.50701891,0.50701891,1.72311E-07
PRKCH,0.509325453,0.509325453,4.39105E-08
IQSEC1,0.510298556,0.510298556,3.38275E-07
BTG1,0.511681365,0.511681365,0.002695639
SUSD4,0.513334898,0.513334898,1.65312E-10
WDR27,0.5136745,0.5136745,7.85782E-05
SDK1,0.514776917,0.514776917,7.84466E-19
AC027612.6,0.51549544,0.51549544,0.000398824
DPH6-AS1,0.516183784,0.516183784,4.89994E-06
ANKRD36B,0.516646315,0.516646315,0.00155282
APLP2,0.519058021,0.519058021,1.74511E-07
DLG3,0.519264694,0.519264694,0.001649127
MYT1L,0.519918447,0.519918447,1.70623E-15
CCNL2,0.523158479,0.523158479,1.59434E-05
SKIL,0.523623666,0.523623666,0.00143877
EPB41L1,0.523801961,0.523801961,3.01589E-10
MAGI2-AS3,0.5245375,0.5245375,1.02203E-05
SNHG14,0.524598742,0.524598742,1.29172E-17
CCDC67,0.524832723,0.524832723,0.004602946
MYRIP,0.525530899,0.525530899,0.001743387
GRM1,0.526280279,0.526280279,0.001444612
BAG3,0.527435139,0.527435139,0.001040333
RP1-43E13.2,0.529089791,0.529089791,0.009866501
ST18,0.52973985,0.52973985,5.413E-14
CACNA1B,0.529952153,0.529952153,0.00010021
HLF,0.530095292,0.530095292,0.000478459
GNAS,0.530664483,0.530664483,1.7557E-09
PFKFB2,0.532562202,0.532562202,1.35195E-09
DCDC1,0.532651697,0.532651697,0.001351555
TIAM1,0.534260026,0.534260026,7.39596E-10
ANXA6,0.534350233,0.534350233,0.000287354
BTBD3,0.534367049,0.534367049,1.87192E-07
RP11-349A22.5,0.534528926,0.534528926,0.000132545
ZNF251,0.534867638,0.534867638,0.000551544
DDC,0.535556453,0.535556453,0.004771604
ENTPD3,0.535612509,0.535612509,0.003391009
LINC00478,0.536052336,0.536052336,1.25604E-05
ZNF493,0.536353014,0.536353014,0.000428131
ZNF271,0.53693458,0.53693458,0.004118353
PAPSS2,0.537261443,0.537261443,8.90203E-08
SQLE,0.537571206,0.537571206,0.003426732
GAD2,0.538486558,0.538486558,3.93887E-08
RPH3AL,0.538859725,0.538859725,1.16755E-13
AK3,0.538962204,0.538962204,0.004439088
MSANTD4,0.540617644,0.540617644,0.000117552
PSD4,0.54070504,0.54070504,0.003848828
TXLNA,0.542084413,0.542084413,0.004422403
RP11-584P21.2,0.544585649,0.544585649,5.87217E-05
CTD-2047H16.4,0.544605505,0.544605505,0.009821146
TMEM5,0.546429787,0.546429787,0.001264358
CBR3-AS1,0.547588191,0.547588191,0.002848382
PDCD4,0.547874515,0.547874515,7.15497E-08
ERO1LB,0.548222423,0.548222423,1.52871E-18
CHPT1,0.54909985,0.54909985,0.000133013
RTN4RL1,0.549384426,0.549384426,0.003135176
RP11-446J8.1,0.549546539,0.549546539,0.0009362
PGP,0.550080935,0.550080935,0.007422765
TMEM241,0.550854791,0.550854791,0.001392068
LRFN2,0.551701891,0.551701891,2.42457E-12
AC005037.3,0.552120304,0.552120304,0.007353526
KCND3,0.552779914,0.552779914,1.5991E-05
ANGPT2,0.553011497,0.553011497,0.000596287
SULF2,0.553332354,0.553332354,0.001917381
NOL4,0.554051487,0.554051487,1.4204E-16
ZNF385D-AS2,0.554810686,0.554810686,2.10693E-05
ESR1,0.554898976,0.554898976,0.000539973
LENG8,0.555289195,0.555289195,1.0984E-08
ZNF66,0.55561764,0.55561764,0.009563726
MYRFL,0.556234017,0.556234017,0.003447628
SLAIN1,0.556735166,0.556735166,0.006749117
CTNNBIP1,0.558858066,0.558858066,0.00339231
IFLTD1,0.559948903,0.559948903,5.34015E-14
LAMP1,0.56026447,0.56026447,0.00271695
LINC00476,0.561048662,0.561048662,1.70531E-06
AC083843.1,0.561157777,0.561157777,0.006866207
ADAMTS2,0.561672689,0.561672689,0.002415634
ZNF790,0.56199551,0.56199551,0.002351626
MED28,0.56211386,0.56211386,0.002193444
ATRNL1,0.5629546,0.5629546,5.68363E-12
RASSF4,0.563335227,0.563335227,1.40262E-05
MAP3K7CL,0.563690548,0.563690548,0.00071535
LRRC42,0.564193029,0.564193029,0.005263768
C19orf25,0.564340329,0.564340329,0.007154271
SMAD7,0.564632115,0.564632115,0.009869821
ZNF621,0.564672005,0.564672005,0.00129086
ANKMY1,0.564772396,0.564772396,0.000499883
RP11-159D12.5,0.564790899,0.564790899,0.007050748
TBC1D12,0.565263172,0.565263172,7.25819E-07
MAPKBP1,0.565586837,0.565586837,0.003915508
FAAH2,0.565589761,0.565589761,3.05883E-06
DNAH7,0.565846422,0.565846422,0.001774584
PNRC2,0.565988865,0.565988865,0.005623833
KIAA2022,0.566513101,0.566513101,9.53628E-11
CNKSR2,0.567917109,0.567917109,6.18372E-05
FSIP2,0.571508756,0.571508756,0.002316201
MNX1,0.571730264,0.571730264,7.52666E-06
BCAP29,0.571872833,0.571872833,0.004839214
LSS,0.572229779,0.572229779,4.26735E-05
RASA4,0.573802269,0.573802269,5.20372E-05
RP11-479O16.1,0.574575996,0.574575996,0.009103306
PAXBP1-AS1,0.574789535,0.574789535,0.001832209
LDLRAP1,0.580751917,0.580751917,1.77701E-06
AC002117.1,0.581559669,0.581559669,0.00027062
D2HGDH,0.582945995,0.582945995,0.003003648
SPAG16,0.58350855,0.58350855,1.16068E-17
DGCR5,0.584775758,0.584775758,5.94008E-05
SLC39A10,0.584860773,0.584860773,0.005702036
CTC-338M12.4,0.585332074,0.585332074,0.000260369
ACTR3C,0.585517214,0.585517214,2.45634E-06
ABLIM2,0.585789596,0.585789596,0.001162071
XKR4,0.586053187,0.586053187,4.82492E-05
ZNF213,0.588735269,0.588735269,0.004272318
DIXDC1,0.588797182,0.588797182,0.00018821
GLTSCR1L,0.59002866,0.59002866,1.78609E-05
PER3,0.590242991,0.590242991,5.2754E-06
RBFOX3,0.590571029,0.590571029,1.87033E-05
GCNT1,0.593723012,0.593723012,3.15173E-08
ADAMTSL1,0.594566451,0.594566451,0.007050248
CLYBL,0.595158048,0.595158048,0.000634996
BCOR,0.595930367,0.595930367,0.000136086
NPAS2,0.601785098,0.601785098,9.9296E-06
PWRN1,0.603346571,0.603346571,0.001689726
AC024560.3,0.603462199,0.603462199,0.001522354
LRP5,0.603517853,0.603517853,4.8484E-05
LRP2BP,0.605802715,0.605802715,0.000281681
PLK2,0.606684922,0.606684922,0.000802655
IRS2,0.606959761,0.606959761,6.03403E-08
ZNF385D,0.608403585,0.608403585,1.25368E-27
ULK2,0.608934265,0.608934265,0.005952474
RIN2,0.60952811,0.60952811,2.13475E-07
GGCX,0.609750746,0.609750746,0.001079304
TOX3,0.610675711,0.610675711,1.17961E-07
EPB41L4B,0.612443786,0.612443786,2.01336E-07
ZNF483,0.612886083,0.612886083,2.90524E-12
KIAA1211,0.613529097,0.613529097,3.60938E-08
SLC35D1,0.613910753,0.613910753,0.000145375
SERPINI1,0.614494502,0.614494502,0.008315845
PTCH1,0.61560774,0.61560774,0.002416572
ARHGAP10,0.616633416,0.616633416,1.22477E-12
GLCE,0.617128272,0.617128272,0.001600509
LDLRAD4,0.617661288,0.617661288,1.61508E-22
FGFR1,0.618810262,0.618810262,1.2703E-05
HNRNPA3,0.619040794,0.619040794,2.8322E-10
CCDC158,0.620750263,0.620750263,0.008253002
CTNNA3,0.621060994,0.621060994,1.21391E-08
RP11-624L4.1,0.621986888,0.621986888,0.001473295
CHST9,0.622544014,0.622544014,1.76917E-16
USP53,0.622691236,0.622691236,1.0582E-08
ARMCX4,0.623678274,0.623678274,1.23298E-07
NAMPT,0.62466699,0.62466699,0.000151206
LSAMP,0.625036152,0.625036152,1.44804E-21
PKP2,0.625141104,0.625141104,6.50546E-15
OXR1,0.626208379,0.626208379,5.67011E-14
RP11-65M17.3,0.626346235,0.626346235,0.009381505
LINC00907,0.626835115,0.626835115,1.35557E-09
RAP1GAP,0.626842133,0.626842133,0.000202957
KLHL24,0.627107934,0.627107934,3.61802E-06
PURA,0.627303333,0.627303333,8.60282E-08
PLCXD3,0.630556248,0.630556248,1.1494E-09
PCSK2,0.630859218,0.630859218,9.63709E-13
GABPB1-AS1,0.631503725,0.631503725,1.27682E-10
RP11-440L14.1,0.632282134,0.632282134,9.38586E-06
CCSER1,0.633898972,0.633898972,2.02889E-25
RP11-136K7.2,0.634375952,0.634375952,3.76268E-21
HPN,0.634527096,0.634527096,2.32081E-06
PLCL2,0.634950318,0.634950318,1.79839E-19
PDE10A,0.635428316,0.635428316,1.53589E-06
SCAMP5,0.63624366,0.63624366,3.49968E-06
ANKS1B,0.636968353,0.636968353,5.57214E-14
DHRS2,0.639529717,0.639529717,0.005481671
RP4-769N13.6,0.640200813,0.640200813,2.80078E-08
DFFA,0.64256427,0.64256427,0.001866593
MGAT4C,0.643287214,0.643287214,1.28169E-12
FAM200B,0.643673408,0.643673408,0.00147774
RP11-385J1.2,0.643699774,0.643699774,7.68501E-10
ZBED3,0.646015926,0.646015926,8.46283E-07
CYP4V2,0.647328255,0.647328255,0.001091422
CNTLN,0.649748108,0.649748108,0.00557701
RP1-90G24.10,0.649886657,0.649886657,0.001587508
ZNF876P,0.651088857,0.651088857,0.005430064
MSL1,0.652740647,0.652740647,0.000483858
HGD,0.652883666,0.652883666,0.003015256
PVRL2,0.653684376,0.653684376,0.001619824
SLC16A12,0.655480612,0.655480612,2.57279E-14
MBL1P,0.655494195,0.655494195,3.36376E-05
GOLGA8B,0.655998627,0.655998627,0.003492622
AES,0.658096665,0.658096665,2.08322E-05
EMP2,0.658119947,0.658119947,0.000510312
CDCP1,0.659896943,0.659896943,3.70286E-06
TXLNG2P,0.660105091,0.660105091,0.001871713
STAG3L2,0.660310792,0.660310792,7.2036E-10
FBLN7,0.66161526,0.66161526,0.006129978
LL22NC03-2H8.5,0.661654679,0.661654679,0.008191398
CTC-559E9.6,0.662013195,0.662013195,3.22265E-08
SLC4A8,0.662044743,0.662044743,2.0358E-08
F3,0.662861123,0.662861123,0.004020719
CLHC1,0.662871708,0.662871708,2.96372E-07
MARCKS,0.66333394,0.66333394,0.006675624
CROCC,0.664741465,0.664741465,0.000256154
ZNF573,0.665718504,0.665718504,0.002316201
C10orf11,0.667033497,0.667033497,8.8398E-12
DCAF16,0.667140867,0.667140867,0.00224934
DLC1,0.668222038,0.668222038,6.09534E-08
ZNF814,0.668867615,0.668867615,1.67428E-05
SLC4A10,0.66987244,0.66987244,1.36197E-19
RAB3C,0.670189082,0.670189082,1.41093E-22
GRPEL2-AS1,0.670224347,0.670224347,0.009061038
GALNT14,0.67032886,0.67032886,1.33971E-06
NISCH,0.670453576,0.670453576,2.65885E-07
GPR173,0.671339201,0.671339201,0.004074156
B3GALTL,0.671466823,0.671466823,0.001907203
DUSP3,0.673327104,0.673327104,0.002695639
RP11-692D12.1,0.674512724,0.674512724,9.4635E-07
SOGA1,0.675507199,0.675507199,0.009492026
SOGA2,0.67589725,0.67589725,1.30245E-06
RP11-1129I3.1,0.676304811,0.676304811,0.008092256
ALK,0.676817637,0.676817637,3.6555E-05
GPR137B,0.680185002,0.680185002,1.28244E-11
TENM4,0.680889563,0.680889563,7.52501E-11
RP11-640M9.1,0.682450227,0.682450227,0.003716579
RNF150,0.682985579,0.682985579,1.18349E-19
ZNF826P,0.68429501,0.68429501,0.000397541
AC005062.2,0.685869961,0.685869961,2.90874E-05
MBNL3,0.688748842,0.688748842,9.28102E-09
SEMA5A,0.689122769,0.689122769,1.48296E-24
DZIP1,0.690224837,0.690224837,1.62069E-08
TNFRSF19,0.690671901,0.690671901,0.004414244
LRRTM3,0.691988232,0.691988232,2.59382E-18
MAN1C1,0.692046122,0.692046122,6.27913E-11
GLRX,0.693523549,0.693523549,1.34803E-08
SLC6A17,0.693532847,0.693532847,6.57074E-06
SAMD11,0.693796888,0.693796888,1.50226E-09
FAM229B,0.694015264,0.694015264,0.005098333
CDH22,0.694362251,0.694362251,4.62313E-07
AC090044.1,0.694678661,0.694678661,1.69754E-06
FAM159B,0.694701978,0.694701978,0.002473162
CBX5,0.695339681,0.695339681,1.44202E-06
PDZRN3,0.697848408,0.697848408,2.43358E-18
DNAH14,0.698028221,0.698028221,2.64411E-24
CPNE4,0.699448894,0.699448894,4.02204E-10
CEBPD,0.701552825,0.701552825,0.003830085
RP11-159F24.3,0.702055793,0.702055793,0.007432355
NAIP,0.702379643,0.702379643,2.3686E-05
ZNF398,0.702866606,0.702866606,0.000258233
DENND2A,0.702950607,0.702950607,0.000742858
IVD,0.704464857,0.704464857,0.004536949
PSD,0.704713752,0.704713752,0.001086259
ZNF354B,0.706020037,0.706020037,0.005909168
AATK,0.706845434,0.706845434,0.008299693
SLCO5A1,0.707382135,0.707382135,3.08134E-24
SDK2,0.707646261,0.707646261,0.001444567
PCBP1-AS1,0.708021397,0.708021397,6.13639E-07
RGP1,0.708514942,0.708514942,0.001652241
SH3BGRL,0.709683359,0.709683359,8.93687E-10
C3orf35,0.710398333,0.710398333,0.00035218
SLC16A9,0.711271867,0.711271867,9.21911E-08
FAM213A,0.713000605,0.713000605,0.009978028
CAMK2B,0.71359847,0.71359847,2.77703E-06
STAG3L3,0.714164705,0.714164705,0.003168322
CCND2,0.714658301,0.714658301,0.00505779
XXYLT1,0.715184133,0.715184133,0.007432355
FAM228B,0.715641628,0.715641628,0.00208405
ZNF789,0.715813975,0.715813975,0.000527038
RP11-216L13.19,0.716746325,0.716746325,0.005473283
MAT2A,0.718592341,0.718592341,1.78174E-14
AC007038.7,0.722354414,0.722354414,8.33746E-07
ARL16,0.723064293,0.723064293,0.00100804
BCAR3,0.723251522,0.723251522,7.29405E-06
RP5-827C21.2,0.724754915,0.724754915,0.009821146
ZNF780B,0.726306133,0.726306133,3.28961E-08
TNRC6C,0.72673381,0.72673381,0.000288729
AC079305.8,0.72685178,0.72685178,0.009292945
NPM2,0.729296049,0.729296049,0.005753247
ALPK3,0.729462207,0.729462207,6.31982E-07
KIF26B,0.729987514,0.729987514,6.43728E-22
GREB1,0.730633991,0.730633991,5.27135E-06
ZBTB16,0.731578762,0.731578762,3.56642E-22
MRAP2,0.732479145,0.732479145,1.87033E-05
SSTR5-AS1,0.735110695,0.735110695,5.49648E-05
SLCO1A2,0.736741639,0.736741639,0.000339508
SPAG6,0.737269197,0.737269197,0.000370085
GJD2,0.739897143,0.739897143,0.00143864
AC107218.3,0.741835922,0.741835922,1.28843E-14
MSI1,0.742220455,0.742220455,0.00829112
RP11-64D24.2,0.742889675,0.742889675,0.003730659
RP11-85K15.2,0.743200538,0.743200538,7.39015E-05
TMEM53,0.744019417,0.744019417,0.005010549
SNX30,0.745648431,0.745648431,0.000545781
GPRASP1,0.748118377,0.748118377,0.007980185
MOB3A,0.74866864,0.74866864,0.007952387
NRSN2,0.749619639,0.749619639,0.005712434
GIPC1,0.750334969,0.750334969,0.000274432
LUZP2,0.751089499,0.751089499,0.005221498
SIDT1,0.753582591,0.753582591,4.0706E-06
ERRFI1,0.754682959,0.754682959,6.85224E-24
TMEM196,0.75663032,0.75663032,5.01493E-15
MSMO1,0.756835962,0.756835962,5.82295E-06
MIOS,0.757193624,0.757193624,3.24154E-13
ATAD2,0.758254836,0.758254836,0.006202304
PIK3C2G,0.760913665,0.760913665,1.72548E-05
LINC00174,0.763669252,0.763669252,0.000268018
RP11-54O7.3,0.765196628,0.765196628,0.009164465
C6orf183,0.765449716,0.765449716,0.004204632
SOCS2-AS1,0.7670656,0.7670656,0.00149774
RP11-902B17.1,0.767067372,0.767067372,0.001567807
NKAPP1,0.768935468,0.768935468,0.00020492
AGBL3,0.768945415,0.768945415,8.03322E-05
TMEM8A,0.769169006,0.769169006,0.004365842
BCL6,0.769898877,0.769898877,0.005675705
RP11-18H7.1,0.770177156,0.770177156,0.000355633
MYLK-AS1,0.770270004,0.770270004,0.00040276
AC004540.5,0.772552584,0.772552584,1.06647E-05
PCDP1,0.77371467,0.77371467,0.004591719
A1BG-AS1,0.774965934,0.774965934,0.000512696
ZFP90,0.775897372,0.775897372,0.000132371
LRRTM4,0.778901586,0.778901586,1.80323E-26
AC004076.9,0.779450295,0.779450295,0.000764334
ACPP,0.783581574,0.783581574,4.87182E-14
CTPS2,0.783598712,0.783598712,1.23298E-07
CNTN5,0.786577811,0.786577811,4.22961E-17
ITGA10,0.787110675,0.787110675,0.000297404
C2orf88,0.789143053,0.789143053,0.002472281
GOLGA8A,0.789892143,0.789892143,1.13709E-05
IFNAR2,0.790110678,0.790110678,0.001280132
CDC25B,0.790999288,0.790999288,0.00100339
CACNA1D,0.791255179,0.791255179,6.49619E-63
RXRG,0.791493998,0.791493998,4.82074E-05
KLF13,0.792119828,0.792119828,1.93886E-06
BCL2L2,0.792458985,0.792458985,0.000370405
NR4A2,0.793267052,0.793267052,0.004573381
ARHGEF26,0.795453271,0.795453271,3.20369E-05
TMSB15B,0.796069622,0.796069622,0.002776006
C19orf52,0.797254968,0.797254968,0.003892612
MLLT6,0.7972917,0.7972917,8.24467E-05
FDPS,0.799756728,0.799756728,9.57004E-08
TXNDC16,0.801380688,0.801380688,0.001404912
MCOLN3,0.801800919,0.801800919,0.004118353
USP2,0.802459576,0.802459576,0.000379628
SLC5A4,0.803862953,0.803862953,2.1847E-07
AC159540.1,0.804234323,0.804234323,2.20903E-10
C1RL,0.804527335,0.804527335,0.000651729
NEK10,0.806891419,0.806891419,4.72423E-06
KLHL23,0.807842842,0.807842842,0.000166847
ABCC8,0.808625218,0.808625218,5.64059E-33
DPM3,0.810096632,0.810096632,0.000942027
TMEM120B,0.810099646,0.810099646,0.004449387
DEPTOR,0.811615842,0.811615842,7.10118E-05
TSPYL4,0.812839748,0.812839748,2.25552E-05
ZNF25,0.813134683,0.813134683,1.33556E-05
IRAK1BP1,0.813740977,0.813740977,4.29436E-09
ZNF540,0.813867242,0.813867242,3.27436E-07
JUNB,0.813985662,0.813985662,0.003687366
TRPM3,0.81487274,0.81487274,1.8502E-35
RP11-222A11.1,0.815972878,0.815972878,3.60344E-05
PTH2R,0.818410219,0.818410219,5.59553E-06
TUBA3FP,0.822894894,0.822894894,0.000200596
PGLS,0.82338478,0.82338478,0.000486119
PLCH2,0.825154357,0.825154357,3.50083E-06
TMEM150C,0.827308641,0.827308641,7.96348E-14
RCN1,0.827308804,0.827308804,9.63709E-13
SAMD4A,0.827755611,0.827755611,5.45978E-06
ADAP2,0.828502552,0.828502552,0.008195419
NREP,0.829525079,0.829525079,2.0536E-05
TMEM37,0.833900739,0.833900739,1.19108E-05
ADAM22,0.834815325,0.834815325,3.45566E-11
SLC45A2,0.835313285,0.835313285,0.000373235
CHSY1,0.836292442,0.836292442,0.001339521
MARCH3,0.836664563,0.836664563,2.28917E-06
AC002539.1,0.837408668,0.837408668,0.001468033
ZBED3-AS1,0.838041016,0.838041016,2.0067E-17
NEU1,0.83848799,0.83848799,0.007738801
ZNF775,0.838857262,0.838857262,0.003494026
