Gene,log2FoldChange (FC),abs(FC),P-adjusted
AC034220.3,-0.412821795,0.412821795,0.002213128
FRK,-0.412562107,0.412562107,0.002988852
SNX19,-0.412269384,0.412269384,0.004140832
TMCC1,-0.411735537,0.411735537,1.89243E-09
TMEM165,-0.41125048,0.41125048,6.00152E-07
IBTK,-0.410726055,0.410726055,3.7643E-07
GFM1,-0.410286987,0.410286987,0.000477788
SRSF2,-0.409597621,0.409597621,0.003851102
SLCO3A1,-0.408551959,0.408551959,7.23954E-09
HELZ,-0.408517066,0.408517066,4.21558E-07
ATP6V1D,-0.4082718,0.4082718,0.001447098
SLC39A11,-0.408233217,0.408233217,1.92091E-06
ZNRF2,-0.407918013,0.407918013,2.53344E-08
CDC27,-0.407828042,0.407828042,3.70062E-06
GTF2B,-0.405212439,0.405212439,0.006476018
PCDH7,-0.404865794,0.404865794,7.29405E-06
MCU,-0.404795402,0.404795402,0.00185244
HERC2,-0.404397719,0.404397719,4.44075E-07
MLLT4,-0.404256244,0.404256244,6.34701E-07
FXR1,-0.403184519,0.403184519,4.92819E-05
SEC22B,-0.402657542,0.402657542,0.000457772
PDCD6IP,-0.402188483,0.402188483,7.32444E-05
KANSL3,-0.402160946,0.402160946,0.008945096
FZD6,-0.402065605,0.402065605,0.006183504
EXOC2,-0.401753905,0.401753905,4.89897E-08
PIK3C3,-0.4015236,0.4015236,1.0582E-08
PPHLN1,-0.400081888,0.400081888,5.81973E-06
XPO7,-0.399938381,0.399938381,0.000487814
MCM9,-0.398524542,0.398524542,0.00918766
ARHGAP42,-0.397234577,0.397234577,9.49842E-05
CDC14B,-0.397230564,0.397230564,1.88919E-05
SEL1L,-0.397215007,0.397215007,0.00978968
KPNA1,-0.395834846,0.395834846,1.10072E-05
BCL2L13,-0.394853012,0.394853012,0.000126379
SLC35F3,-0.394638629,0.394638629,1.16721E-05
PTPRK,-0.393913416,0.393913416,4.12324E-05
RP11-274B21.1,-0.393706281,0.393706281,7.07004E-05
GPHN,-0.393697644,0.393697644,1.87676E-09
ATG5,-0.393392437,0.393392437,0.001273954
WAPAL,-0.392620075,0.392620075,9.77215E-07
VTA1,-0.392316802,0.392316802,0.004648305
TNKS,-0.392282552,0.392282552,2.42826E-08
AC093642.5,-0.392041469,0.392041469,0.003784545
YWHAG,-0.391801356,0.391801356,0.001699642
NEBL,-0.391506538,0.391506538,4.94397E-09
DGUOK,-0.390547172,0.390547172,0.005183328
SECISBP2,-0.389724715,0.389724715,4.28167E-05
ECE1,-0.389353477,0.389353477,0.006015478
RP11-611E13.2,-0.389254784,0.389254784,4.38697E-05
RPS6KA6,-0.389181353,0.389181353,0.001844736
ATP6AP1L,-0.388464442,0.388464442,0.009117916
IQGAP1,-0.388390506,0.388390506,0.000118074
NDFIP1,-0.388062686,0.388062686,1.01845E-05
ATP2C1,-0.386733974,0.386733974,0.000194763
PPP1R13B,-0.386678985,0.386678985,5.13387E-05
SMARCA1,-0.385958732,0.385958732,0.002816053
RCAN2,-0.385790649,0.385790649,5.36566E-05
